Yea;Mon;MonN;Branch;IDCount
2014;3;березень;ЗСУ;2
2014;4;квітень;ЗСУ;6
2014;4;квітень;СБУ;1
2014;5;травень;ЗСУ;47
2014;5;травень;МВС;9
2014;5;травень;НГУ;9
2014;5;травень;СБУ;2
2014;6;червень;ДПСУ;5
2014;6;червень;ДСНС;3
2014;6;червень;ЗСУ;122
2014;6;червень;МВС;2
2014;6;червень;НГУ;2
2014;6;червень;СБУ;4
2014;7;липень;ДПСУ;27
2014;7;липень;ЗСУ;266
2014;7;липень;Інші;4
2014;7;липень;МВС;11
2014;7;липень;НГУ;10
2014;8;серпень;ДПСУ;25
2014;8;серпень;ЗСУ;503
2014;8;серпень;Інші;16
2014;8;серпень;МВС;74
2014;8;серпень;НГУ;73
2014;9;вересень;ДПСУ;4
2014;9;вересень;ЗСУ;162
2014;9;вересень;Інші;4
2014;9;вересень;МВС;8
2014;9;вересень;НГУ;10
2014;10;жовтень;ДПСУ;4
2014;10;жовтень;ЗСУ;89
2014;10;жовтень;Інші;4
2014;10;жовтень;МВС;3
2014;10;жовтень;НГУ;5
2014;11;листопад;ДПСУ;1
2014;11;листопад;ЗСУ;105
2014;11;листопад;Інші;4
2014;11;листопад;МВС;7
2014;11;листопад;НГУ;5
2014;12;грудень;ДПСУ;2
2014;12;грудень;ЗСУ;56
2014;12;грудень;Інші;2
2014;12;грудень;МВС;3
2014;12;грудень;НГУ;2
2015;1;січень;ЗСУ;234
2015;1;січень;МВС;6
2015;1;січень;НГУ;22
2015;2;лютий;ДПСУ;1
2015;2;лютий;ЗСУ;239
2015;2;лютий;Інші;6
2015;2;лютий;МВС;26
2015;2;лютий;НГУ;20
2015;3;березень;ЗСУ;43
2015;3;березень;Інші;3
2015;3;березень;МВС;3
2015;3;березень;НГУ;2
2015;3;березень;СБУ;1
2015;4;квітень;ДПСУ;4
2015;4;квітень;ЗСУ;45
2015;4;квітень;Інші;2
2015;4;квітень;МВС;1
2015;4;квітень;НГУ;3
2015;5;травень;ЗСУ;60
2015;5;травень;Інші;4
2015;5;травень;МВС;1
2015;5;травень;НГУ;5
2015;6;червень;ДПСУ;3
2015;6;червень;ЗСУ;64
2015;6;червень;Інші;2
2015;6;червень;МВС;2
2015;6;червень;НГУ;2
2015;7;липень;ЗСУ;60
2015;7;липень;Інші;3
2015;7;липень;МВС;3
2015;7;липень;НГУ;2
2015;8;серпень;ЗСУ;70
2015;8;серпень;Інші;5
2015;8;серпень;НГУ;1
2015;9;вересень;ДФС;1
2015;9;вересень;ЗСУ;29
2015;9;вересень;НГУ;2
2015;9;вересень;СБУ;1
2015;10;жовтень;ЗСУ;24
2015;10;жовтень;Інші;1
2015;10;жовтень;НГУ;2
2015;11;листопад;ДПСУ;1
2015;11;листопад;ЗСУ;47
2015;12;грудень;ЗСУ;29
2016;1;січень;ДПСУ;1
2016;1;січень;ЗСУ;31
2016;1;січень;Інші;1
2016;1;січень;МВС;3
2016;1;січень;НГУ;1
2016;2;лютий;ЗСУ;37
2016;2;лютий;СБУ;1
2016;3;березень;ЗСУ;54
2016;3;березень;Інші;1
2016;3;березень;МВС;2
2016;3;березень;НГУ;2
2016;4;квітень;ЗСУ;43
2016;5;травень;ДПСУ;1
2016;5;травень;ЗСУ;48
2016;5;травень;МВС;1
2016;6;червень;ЗСУ;39
2016;6;червень;Інші;6
2016;6;червень;МВС;2
2016;7;липень;ЗСУ;54
2016;7;липень;Інші;1
2016;7;липень;СБУ;1
2016;8;серпень;ЗСУ;30
2016;8;серпень;Інші;3
2016;8;серпень;НГУ;1
2016;9;вересень;ЗСУ;30
2016;9;вересень;Інші;1
2016;10;жовтень;ЗСУ;24
2016;10;жовтень;Інші;1
2016;10;жовтень;МВС;1
2016;11;листопад;ЗСУ;20
2016;11;листопад;Інші;1
2016;12;грудень;ЗСУ;26
2017;1;січень;ЗСУ;18
2017;2;лютий;ЗСУ;2
